feature,n_pairs,mean_delta,median_delta,std_delta,std_delta_xmodel,cohens_d,sign_agreement,wilcoxon_p,n_qwen,n_llama,n_gemma,abs_std_delta_xmodel,wilcoxon_q
topology_betti_curve.simplification_ratio,6,-0.08333333333333333,0.0,0.2041241452319315,-0.3494386015991122,-0.408248290463863,0.16666666666666666,1.0,4,1,1,0.3494386015991122,1.0
edg_late,6,0.21944721944721945,0.12056277056277054,0.33291074452557523,0.3484777267252977,0.659177341241868,0.6666666666666666,0.1875,4,1,1,0.3484777267252977,0.5543478260869565
interpretability_prediction_entropy.median_entropy,6,-0.275390625,-0.046875,0.5990804619601141,-0.346859749077478,-0.4596888773487243,0.6666666666666666,0.125,4,1,1,0.346859749077478,0.4292929292929293
edg,6,0.1493132652439115,0.09714076246334312,0.16002985855175447,0.3438919743179918,0.9330337887890017,0.8333333333333334,0.0625,4,1,1,0.3438919743179918,0.27070063694267515
interpretability_attention_rank.mean_effective_rank,6,5.087873879964758,2.7842946140964813,8.36103065528884,0.34351229621401885,0.6085223329191337,0.8333333333333334,0.0625,4,1,1,0.34351229621401885,0.27070063694267515
geometry_contextualization.per_layer.self_similarity_corrected.q25,6,-0.044794651236361026,-0.01846004839077367,0.08149164980348728,-0.3431907013340898,-0.5496839411691985,0.8333333333333334,0.09375,4,1,1,0.3431907013340898,0.3390957446808511
interpretability_attention_rank.layer_mean_effective_rank.mean,6,5.08787387996476,2.7842946140964777,8.36103065528884,0.34305741850872773,0.6085223329191339,0.8333333333333334,0.0625,4,1,1,0.34305741850872773,0.27070063694267515
consistency_icl_slope.mean_nll_4shot,6,0.30213562647501624,0.0495338439941406,0.6658373104544328,0.3417964242204999,0.45376794260569325,0.6666666666666666,0.3125,4,1,1,0.3417964242204999,0.6611111111111111
geometry_matrix_entropy.layer_matrix_entropies.max,6,0.031405222415923806,0.00895140171051012,0.049265617286205224,0.33937973007492556,0.6374673483431116,0.8333333333333334,0.0625,4,1,1,0.33937973007492556,0.27070063694267515
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.max,6,-0.011496958347658329,-0.008828323706984498,0.009393285310547932,-0.3383508218896516,-1.2239549814108313,1.0,0.03125,4,1,1,0.3383508218896516,0.2361111111111111
topology_betti_curve.betti_0_curve.mean,6,0.09573412698412698,0.03645833333333337,0.26304989553972796,0.33525799993001637,0.36393904201215854,0.6666666666666666,0.4375,4,1,1,0.33525799993001637,0.6611111111111111
interpretability_waa.layer_waa_alignments.q50,6,0.012216352469598268,0.012526106787845551,0.022430838448756884,0.3351726554306203,0.5446230865380468,0.6666666666666666,0.15625,4,1,1,0.3351726554306203,0.46397379912663755
geometry_cka.min_offdiag_cka,6,-0.027099600982571973,-0.025506732981391812,0.02774777090757198,-0.3334364498765335,-0.9766406488233211,0.8333333333333334,0.0625,4,1,1,0.3334364498765335,0.27070063694267515
geometry_contextualization.per_layer.mev.q75,6,-0.014200460347332605,0.0015551229862428018,0.037226051578188556,-0.32711102589907814,-0.3814656603455877,0.3333333333333333,1.0,4,1,1,0.32711102589907814,1.0
repe_task_vectors.layer_task_vector_cosine_sim.q50,6,-0.015843113263448044,-0.007789552211761475,0.029706230716509345,-0.3254574703446804,-0.5333262713348272,0.8333333333333334,0.15625,4,1,1,0.3254574703446804,0.46397379912663755
causality_attention_knockout.per_head_impacts.max,6,0.31467013888888906,0.2721354166666671,0.34522810630775425,0.32164098951717135,0.9114847057335933,0.8333333333333334,0.09375,4,1,1,0.32164098951717135,0.3390957446808511
causality_attention_knockout.max_knockout_impact,6,0.31467013888888906,0.2721354166666671,0.34522810630775425,0.32164098951717135,0.9114847057335933,0.8333333333333334,0.09375,4,1,1,0.32164098951717135,0.3390957446808511
topology_homology.mean_persistence_h1.min,6,-0.024760658128394012,-0.00596100091934205,0.053284300356625694,-0.3158762278466772,-0.4646895607650617,0.6666666666666666,0.15625,4,1,1,0.3158762278466772,0.46397379912663755
interpretability_activation_sinks.sink_epsilon_fraction,6,0.0014702244273697167,0.0019527662429026996,0.0010108197881689726,0.3152425482896337,1.454487184142806,0.8333333333333334,0.0625,4,1,1,0.3152425482896337,0.27070063694267515
geometry_schatten.rankme_per_layer.slope,6,0.14998951613353742,0.02946184069285005,0.24579231211876582,0.3138989632573751,0.610228671680598,1.0,0.03125,4,1,1,0.3138989632573751,0.2361111111111111
geometry_contextualization.per_layer.self_similarity_raw.q50,6,0.03933191796470231,0.01654052875984313,0.07296007676365601,0.31324049015180006,0.5390882207006521,0.8333333333333334,0.15625,4,1,1,0.31324049015180006,0.46397379912663755
causality_circuit_quality.circuit_quality_score,6,0.05131938398094349,0.02335689802974708,0.12079289515664135,0.31110669798504187,0.4248543253673466,0.8333333333333334,0.3125,4,1,1,0.31110669798504187,0.6611111111111111
causality_tracing.aie.mean,6,-0.04442134793592869,0.01193020741144818,0.15132458993315798,-0.31033997823202314,-0.29355009622395256,0.3333333333333333,1.0,4,1,1,0.31033997823202314,1.0
causality_edge_attribution.attribution_gini,6,-0.021396235572781763,-0.028533258483239787,0.0469508263797227,-0.30943242000345367,-0.455715846186308,0.5,0.4375,4,1,1,0.30943242000345367,0.6611111111111111
geometry_neural_collapse.nc2_equinorm_cv,6,-0.0156826399204178,0.00021933535435710722,0.03403621180928481,-0.30912734491509986,-0.46076337778987786,0.5,0.84375,4,1,1,0.30912734491509986,0.9359706362153344
interpretability_logit_lens.entropy.q75,6,0.8006450469295184,0.5608266901969912,0.5702700503220783,0.309002493617161,1.4039752683440563,1.0,0.03125,4,1,1,0.309002493617161,0.2361111111111111
geometry_rsa.rsa_first_middle,6,-0.054202948938820134,0.00925767924117582,0.18123364744352422,-0.30708940018691494,-0.29907773585868364,0.5,0.84375,4,1,1,0.30708940018691494,0.9359706362153344
consistency_position_sensitivity.mean_nll_across_positions,6,0.059257812499999986,-0.016562500000000036,0.3381458654822997,0.30630590472442154,0.17524334480766215,0.3333333333333333,0.6875,4,1,1,0.30630590472442154,0.8333333333333334
geometry_perplexity.mean_nll_nats,5,0.15606291969723357,0.14136944050656997,0.07488546092680128,0.3037684422334377,2.084021621363609,1.0,0.0625,4,1,0,0.3037684422334377,0.27070063694267515
interpretability_attention_rank.layer_mean_normalised_rank.max,6,0.03971371477276583,0.01424779820435379,0.08284089724157483,0.2996401527387505,0.4793974485447142,0.8333333333333334,0.3125,4,1,1,0.2996401527387505,0.6611111111111111
topology_betti_curve.betti_1_curve.q75,6,-0.6666666666666666,-1.0,1.8618986725025255,-0.29910882545670475,-0.35805743701971643,0.6666666666666666,0.53125,4,1,1,0.29910882545670475,0.7470703125
geometry_rsa.rsa_min_continuity_layer,6,-6.0,0.0,14.696938456699069,-0.29833693903269043,-0.408248290463863,0.16666666666666666,1.0,4,1,1,0.29833693903269043,1.0
geometry_hsic.input_to_layer_hsic.min,6,-0.023975429659557693,-0.021248365986678314,0.020356401861743117,-0.2969782800883813,-1.1777832753742208,0.8333333333333334,0.0625,4,1,1,0.2969782800883813,0.27070063694267515
interpretability_waa.layer_waa_alignments.min,6,0.0007486890729827227,7.586600258945001e-05,0.0019139345026323988,0.29581171846316534,0.39117800110347883,0.5,0.6875,4,1,1,0.29581171846316534,0.8333333333333334
topology_betti_curve.betti_0_curve.q75,6,0.16666666666666666,0.0,0.408248290463863,0.2952983663615644,0.408248290463863,0.16666666666666666,1.0,4,1,1,0.2952983663615644,1.0
interpretability_sparsity.layer_kurtosis.mean,6,-6250.285110170906,708.5826444756262,21648.889912883125,-0.294509816984123,-0.2887115752965882,0.16666666666666666,0.4375,4,1,1,0.294509816984123,0.6611111111111111
interpretability_sparsity.global_mean_kurtosis,6,-6250.285110170906,708.5826444756262,21648.889912883125,-0.294509816984123,-0.2887115752965882,0.16666666666666666,0.4375,4,1,1,0.294509816984123,0.6611111111111111
interpretability_head_roles.max_duplicate_token_score,6,-0.025618125067816855,-0.029394371396019414,0.05417273790119124,-0.28999137838406885,-0.47289699690909515,0.8333333333333334,0.3125,4,1,1,0.28999137838406885,0.6611111111111111
geometry_contextualization.per_layer.anisotropy_baseline.min,6,0.04296193023522695,0.04477185755968094,0.040195394587566886,0.2896241769900783,1.0688271797315756,0.8333333333333334,0.0625,4,1,1,0.2896241769900783,0.27070063694267515
interpretability_attention_rank.layer_mean_effective_rank.max,6,3.8770664133131496,1.4004995667934352,8.03343227629959,0.2889882357568404,0.482616430930943,0.8333333333333334,0.3125,4,1,1,0.2889882357568404,0.6611111111111111
geometry_contextualization.per_layer.anisotropy_baseline.mean,6,0.05046740025281906,0.024360346794128407,0.08632120818115589,0.2852170411884175,0.5846465928385396,0.8333333333333334,0.09375,4,1,1,0.2852170411884175,0.3390957446808511
geometry_contextualization.mean_anisotropy_baseline,6,0.05046740025281906,0.024360346794128407,0.08632120818115589,0.2852170411884175,0.5846465928385396,0.8333333333333334,0.09375,4,1,1,0.2852170411884175,0.3390957446808511
geometry_contextualization.per_layer.self_similarity_raw.mean,6,0.02722879853410067,0.01746643003454479,0.03358768545314747,0.2847152562471208,0.8106780257926074,0.8333333333333334,0.0625,4,1,1,0.2847152562471208,0.27070063694267515
causality_tracing.causal_entropy,6,-0.1690736798264646,0.02320607477084402,0.4891314774940492,-0.2845142360526229,-0.3456610085547429,0.3333333333333333,0.6875,4,1,1,0.2845142360526229,0.8333333333333334
geometry_contextualization.per_layer.intra_sentence_similarity_raw.q25,6,0.05940774547557038,0.013285966441035302,0.13186564729718245,0.28215042094753134,0.45051722486664453,0.8333333333333334,0.21875,4,1,1,0.28215042094753134,0.5765503875968992
geometry_contextualization.per_layer.anisotropy_baseline.q25,6,0.06484036147594452,0.019077152013778687,0.13322720405553184,0.2815645397498812,0.4866901015870431,0.8333333333333334,0.15625,4,1,1,0.2815645397498812,0.46397379912663755
repe_task_vectors.layer_task_vector_cosine_sim.max,6,-8.180737495427914e-05,-1.0222196579090514e-05,0.00018302316305165623,-0.27931631989040867,-0.4469782599658707,0.5,0.4375,4,1,1,0.27931631989040867,0.6611111111111111
topology_betti_curve.betti_0_decay_rate,6,-0.17418922960304614,0.035000000000000475,0.4751294516047843,-0.27922145654327035,-0.36661425431471223,0.3333333333333333,0.8125,4,1,1,0.27922145654327035,0.9359706362153344
interpretability_waa.mean_waa_alignment,6,0.01144391863865455,0.0067630125602590515,0.02487816929292258,0.27689747350479726,0.45999842287069537,0.5,0.5625,4,1,1,0.27689747350479726,0.7470703125
geometry_perplexity.ppl_rare,5,9.977083989824365,5.909741946551009,8.710427034821686,0.2746984612060919,1.1454184679969148,1.0,0.0625,4,1,0,0.2746984612060919,0.27070063694267515
repe_refusal_direction.best_layer,6,0.8333333333333334,1.0,1.3291601358251257,0.27408063103344665,0.626962328219399,0.6666666666666666,0.3125,4,1,1,0.27408063103344665,0.6611111111111111
consistency_format_robustness.top1_agreement_rate,6,0.041666666666666664,0.0,0.10206207261596575,0.2728155133585086,0.408248290463863,0.16666666666666666,1.0,4,1,1,0.2728155133585086,1.0
topology_homology.max_persistence_h0.std,6,-2.1864778165562853,-0.978467121977058,3.983126053475727,-0.2708609618389979,-0.5489351296448016,0.6666666666666666,0.21875,4,1,1,0.2708609618389979,0.5765503875968992
causality_attention_knockout.per_head_impacts.slope,6,-0.0010243869299867243,-0.0006662478370707799,0.001354064341035717,-0.2705681009157874,-0.7565275141971289,1.0,0.03125,4,1,1,0.2705681009157874,0.2361111111111111
causality_tracing.aie.slope,6,0.004354482178083565,-0.0012708133765359994,0.01308232629711334,0.269629621150127,0.3328522832399003,0.3333333333333333,1.0,4,1,1,0.269629621150127,1.0
geometry_contextualization.per_layer.mev.q25,6,-0.011439894200217396,-0.004361676462557862,0.019136609904813123,-0.26744869183895026,-0.5978015049227765,1.0,0.03125,4,1,1,0.26744869183895026,0.2361111111111111
interpretability_waa.layer_waa_alignments.mean,6,0.01144391863865455,0.0067630125602590515,0.02487816929292258,0.26351277413291513,0.45999842287069537,0.5,0.5625,4,1,1,0.26351277413291513,0.7470703125
interpretability_logit_lens.entropy.max,6,0.6944137708346049,0.26044712066650444,1.2333052115159868,0.2626677800941916,0.5630510309617738,1.0,0.03125,4,1,1,0.2626677800941916,0.2361111111111111
geometry_hsic.adjacent_hsic.max,6,-0.0011251880113724577,-0.0005544490587379713,0.0023593398078581465,-0.26240931099609655,-0.476907992492156,0.5,0.5625,4,1,1,0.26240931099609655,0.7470703125
consistency_position_sensitivity.nll_at_0.5,6,0.050227864583333316,-0.024218750000000067,0.3042735172524684,0.26069924283348944,0.16507471644881,0.3333333333333333,0.5625,4,1,1,0.26069924283348944,0.7470703125
dynamics_gradient_flow.gradient_norm_min,6,0.046668104905014225,0.023139823228120734,0.05045534490157772,0.2604053640830738,0.9249387749910105,1.0,0.03125,4,1,1,0.2604053640830738,0.2361111111111111
dynamics_gradient_flow.gradient_norm_per_layer.min,6,0.046668104905014225,0.023139823228120734,0.05045534490157772,0.2604053640830738,0.9249387749910105,1.0,0.03125,4,1,1,0.2604053640830738,0.2361111111111111
topology_homology.num_loops_h1.std,6,-0.1732571204470146,-0.40824829046386296,1.0403971559174177,-0.25785307103656874,-0.1665297905339209,0.6666666666666666,0.6875,4,1,1,0.25785307103656874,0.8333333333333334
geometry_contextualization.per_layer.intra_sentence_similarity_raw.mean,6,0.04086378605663769,0.01498132036626329,0.08231888967093223,0.254288454606075,0.4964083726103411,0.8333333333333334,0.21875,4,1,1,0.254288454606075,0.5765503875968992
topology_homology.max_persistence_h0.slope,6,-2.6054107919335365,-0.7783568277955091,5.066852147133471,-0.2539277544723132,-0.5142069901146663,0.6666666666666666,0.15625,4,1,1,0.2539277544723132,0.46397379912663755
geometry_contextualization.per_layer.self_similarity_raw.std,6,-0.010142558542882651,-0.010372402304669646,0.0048813698864140975,-0.2526530990996857,-2.077809872821065,1.0,0.03125,4,1,1,0.2526530990996857,0.2361111111111111
causality_circuit_quality.layer_importances.q75,6,-0.5989583333333329,-0.12760416666666652,1.0936842738188253,-0.24859041955310082,-0.5476519573989537,0.8333333333333334,0.0625,4,1,1,0.24859041955310082,0.27070063694267515
interpretability_superposition.polysemanticity_per_layer.max,6,0.03695815463123293,-0.0010502456573507624,0.09572877648502015,0.24488296506598753,0.3860715240313995,0.3333333333333333,0.6875,4,1,1,0.24488296506598753,0.8333333333333334
interpretability_sparsity.layer_kurtosis.min,6,-39.23265281051615,-7.285509479971438,78.79065345924988,-0.24482310812930239,-0.4979353652753632,0.8333333333333334,0.0625,4,1,1,0.24482310812930239,0.27070063694267515
dynamics_coe.per_sample_mean_angle.slope,6,0.0014352382035068168,0.00264240088872595,0.004313413485730497,0.24467992710285402,0.3327383772167514,0.6666666666666666,0.5625,4,1,1,0.24467992710285402,0.7470703125
interpretability_logit_lens.entropy.slope,6,0.03258914945494291,0.02325448975070675,0.026507871435575498,0.24106404070860024,1.2294140453392228,1.0,0.03125,4,1,1,0.24106404070860024,0.2361111111111111
interpretability_attention_rank.layer_min_effective_rank.max,6,0.9605023463567096,0.0707994699478145,2.708011360271462,0.23983126575649683,0.35468918648126535,0.6666666666666666,0.6875,4,1,1,0.23983126575649683,0.8333333333333334
geometry_hsic.adjacent_hsic.q50,6,-0.005556315233439209,9.48775353470932e-06,0.017370734987317445,-0.23936635528189848,-0.3198664441945567,0.3333333333333333,0.84375,4,1,1,0.23936635528189848,0.9359706362153344
interpretability_sparsity.layer_kurtosis.std,6,-8256.112670753946,4066.2620615097385,36380.52086207165,-0.2373582302876767,-0.22693772587960168,0.16666666666666666,0.4375,4,1,1,0.2373582302876767,0.6611111111111111
interpretability_activation_sinks.valley_layer,6,-2.5,0.0,6.123724356957945,-0.2350882741626383,-0.408248290463863,0.16666666666666666,1.0,4,1,1,0.2350882741626383,1.0
geometry_collapse.max_drop,6,-45.03042493874259,-17.380577853693154,57.28827706090348,-0.2331583875122041,-0.7860321037560704,0.8333333333333334,0.0625,4,1,1,0.2331583875122041,0.27070063694267515
topology_homology.max_persistence_h0.max,6,-4.501850763956706,-1.5713233947753906,8.38075277101943,-0.23288524994466447,-0.5371654416920717,0.6666666666666666,0.15625,4,1,1,0.23288524994466447,0.46397379912663755
topology_homology.mean_persistence_h0.std,6,-1.4064710431328091,-0.2993661005265711,2.9573985155872236,-0.23015078575736536,-0.47557711134291925,0.6666666666666666,0.21875,4,1,1,0.23015078575736536,0.5765503875968992
interpretability_attention_rank.layer_mean_normalised_rank.q50,6,0.04018438737672358,0.042531740353615455,0.032211408409658845,0.22973953632507696,1.2475203463836735,0.8333333333333334,0.0625,4,1,1,0.22973953632507696,0.27070063694267515
geometry_contextualization.per_layer.mev.mean,6,-0.010653706936065691,-0.0001920928884917017,0.024949491233405185,-0.2295046039903786,-0.42701098937846516,0.5,0.6875,4,1,1,0.2295046039903786,0.8333333333333334
geometry_contextualization.mean_mev,6,-0.010653706936065691,-0.0001920928884917017,0.024949491233405185,-0.2295046039903786,-0.42701098937846516,0.5,0.6875,4,1,1,0.2295046039903786,0.8333333333333334
topology_homology.mean_persistence_h0.max,6,-3.137861988000701,-0.755616137855931,6.497634615340694,-0.22915473071301423,-0.48292373667677707,0.6666666666666666,0.15625,4,1,1,0.22915473071301423,0.46397379912663755
interpretability_sparsity.layer_kurtosis.slope,6,451.42000267234135,15.868694177235824,1816.541367893438,0.2280722642579765,0.24850521471791914,0.6666666666666666,0.84375,4,1,1,0.2280722642579765,0.9359706362153344
geometry_contextualization.per_layer.self_similarity_raw.min,6,0.024854990289126095,0.027561901889532225,0.026084293491576045,0.22731390956261555,0.9528718996032246,0.8333333333333334,0.09375,4,1,1,0.22731390956261555,0.3390957446808511
causality_circuit_quality.circuit_faithfulness,6,0.042736083567999926,0.019724346262153816,0.09463228822193852,0.2246122840410388,0.4516015027320502,0.8333333333333334,0.3125,4,1,1,0.2246122840410388,0.6611111111111111
causality_circuit_quality.layer_importances.q50,6,-0.5190972222222215,0.1119791666666674,1.6647333078906255,-0.22357025058489444,-0.3118200493507076,0.16666666666666666,0.4375,4,1,1,0.22357025058489444,0.6611111111111111
dynamics_coe.per_sample_coe_c.slope,6,0.004355914027502519,0.0004314636743848585,0.00964273883969994,0.22276905842250708,0.4517299597048991,0.6666666666666666,0.21875,4,1,1,0.22276905842250708,0.5765503875968992
geometry_contextualization.per_layer.self_similarity_corrected.mean,6,-0.023238601718718402,-0.004630627967497691,0.05314059389581325,-0.2224364108507493,-0.43730414011329455,0.8333333333333334,0.3125,4,1,1,0.2224364108507493,0.6611111111111111
geometry_contextualization.mean_self_similarity_corrected,6,-0.023238601718718402,-0.004630627967497691,0.05314059389581325,-0.2224364108507493,-0.43730414011329455,0.8333333333333334,0.3125,4,1,1,0.2224364108507493,0.6611111111111111
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.q25,6,-0.005432616000374167,-0.005791185572743402,0.0018896793228830467,-0.22061563562816328,-2.8748877836508955,1.0,0.03125,4,1,1,0.22061563562816328,0.2361111111111111
geometry_positional_decay.layer_positional_decay.q50,6,-0.022879000141135742,0.0058143940076061384,0.06804356135648416,-0.2197311790871127,-0.33624048602146694,0.3333333333333333,1.0,4,1,1,0.2197311790871127,1.0
interpretability_attention_rank.layer_mean_effective_rank.q50,6,3.933701841197907,4.389892397522928,2.94187475865009,0.21860994292447689,1.3371411647050968,0.8333333333333334,0.0625,4,1,1,0.21860994292447689,0.27070063694267515
geometry_hsic.input_to_layer_hsic.slope,6,0.0037421023205302163,0.0026033441375770006,0.0046046127301351564,0.21622280300456706,0.8126855698503828,0.8333333333333334,0.0625,4,1,1,0.21622280300456706,0.27070063694267515
geometry_cka.early_late_cka,6,0.022913982204509995,0.01874289382675251,0.03539163016780345,0.2161602502818334,0.6474407111474438,0.8333333333333334,0.15625,4,1,1,0.2161602502818334,0.46397379912663755
interpretability_activation_sinks.bos_attn_fraction,6,-0.04972737630208335,-0.01220703125,0.10711647863410634,-0.21564753819667404,-0.46423647356766207,0.6666666666666666,0.4375,4,1,1,0.21564753819667404,0.6611111111111111
topology_homology.mean_persistence_h0.slope,6,-1.7619528413603163,-0.37001536198352447,3.7357920393164985,-0.21504823937389256,-0.4716410396555917,0.6666666666666666,0.15625,4,1,1,0.21504823937389256,0.46397379912663755
geometry_schatten.schatten_1_per_layer.slope,6,6.0449880960486496e-05,2.2508141612272156e-05,9.210815171677018e-05,0.2132977218908203,0.6562924109732229,1.0,0.03125,4,1,1,0.2132977218908203,0.2361111111111111
causality_edge_attribution.mean_layer_attribution_profile.q50,6,0.005485231513501267,0.003970872346366599,0.008036298738646816,0.21260296361984374,0.6825569446693929,0.6666666666666666,0.3125,4,1,1,0.21260296361984374,0.6611111111111111
interpretability_sparsity.layer_kurtosis.max,6,-32129.010746827797,15465.318090896057,130289.9923320339,-0.2125006139642865,-0.24659615195117607,0.16666666666666666,0.4375,4,1,1,0.2125006139642865,0.6611111111111111
geometry_contextualization.per_layer.intra_sentence_similarity_raw.min,6,0.029551357539991552,0.02588494099676608,0.027332027577557864,0.21088106719640312,1.081198877622089,1.0,0.03125,4,1,1,0.21088106719640312,0.2361111111111111
topology_betti_curve.betti_0_curve.slope,6,-0.009989414907237181,0.0015217391304347995,0.02256302096834037,-0.20799534180097456,-0.4427339282826521,0.3333333333333333,0.8125,4,1,1,0.20799534180097456,0.9359706362153344
geometry_contextualization.per_layer.self_similarity_corrected.q75,6,-0.020073715084926034,0.002062442992083746,0.06622008224937054,-0.20736934596545437,-0.30313636593401916,0.5,0.84375,4,1,1,0.20736934596545437,0.9359706362153344
geometry_schatten.rankme_per_layer.q25,6,-1.6594347627196389,0.2744853359560082,5.378339574352269,-0.20236464395835907,-0.30854034777443184,0.16666666666666666,0.4375,4,1,1,0.20236464395835907,0.6611111111111111
geometry_hsic.input_to_layer_hsic.std,6,-0.011961234324574613,8.678725652934427e-05,0.03236569274414675,-0.20069543517211866,-0.3695652189226745,0.5,1.0,4,1,1,0.20069543517211866,1.0
geometry_perplexity.ppl_overall,5,2.1677988739155314,1.7795559143660018,1.4527488253108785,0.20032182813614294,1.4922048713077687,1.0,0.0625,4,1,0,0.20032182813614294,0.27070063694267515
geometry_cka.max_offdiag_cka,6,-0.0009147428211180494,0.00010639645592308566,0.002461344166728729,-0.1987038247350985,-0.37164360575132255,0.3333333333333333,1.0,4,1,1,0.1987038247350985,1.0
geometry_cka.max_adjacent_cka,6,-0.0009147428211180494,0.00010639645592308566,0.002461344166728729,-0.1987038247350985,-0.37164360575132255,0.3333333333333333,1.0,4,1,1,0.1987038247350985,1.0
interpretability_attention_rank.layer_mean_effective_rank.slope,6,0.26406108984333304,0.2021243596857475,0.28699903434448243,0.19863253197950978,0.9200765795134447,0.8333333333333334,0.0625,4,1,1,0.19863253197950978,0.27070063694267515
topology_betti_curve.betti_1_curve.std,6,-0.07561810246342397,-0.010968723833294058,0.21185352467227267,-0.19657999927678135,-0.3569357771148796,0.5,0.6875,4,1,1,0.19657999927678135,0.8333333333333334
geometry_positional_decay.layer_positional_decay.q25,6,-0.022447466845922887,0.013938507075257733,0.09152874635816059,-0.19565506793618484,-0.24525045670443074,0.16666666666666666,0.4375,4,1,1,0.19565506793618484,0.6611111111111111
interpretability_attention_entropy.max_normalized_entropy_head,6,-0.008813830405647186,-0.003764099235706364,0.01246950296228668,-0.19561781004156298,-0.7068309324200113,1.0,0.03125,4,1,1,0.19561781004156298,0.2361111111111111
interpretability_attention_entropy.max_entropy_head,6,-0.043867468833923194,-0.018435955047606978,0.0627230429937816,-0.19556314616585188,-0.6993836194821134,1.0,0.03125,4,1,1,0.19556314616585188,0.2361111111111111
topology_homology.max_persistence_h0.min,6,0.7089708199103674,-0.011392042040824918,1.7769016095826,0.19335770084584025,0.398992727614731,0.16666666666666666,0.4375,4,1,1,0.19335770084584025,0.6611111111111111
topology_homology.max_persistence_h0.q25,6,0.7089708199103674,-0.011392042040824918,1.7769016095826,0.19335770084584025,0.398992727614731,0.16666666666666666,0.4375,4,1,1,0.19335770084584025,0.6611111111111111
interpretability_attention_rank.layer_mean_normalised_rank.slope,6,0.002533194648494183,0.0022670678506587,0.0027571182410197547,0.19269202081880946,0.9187834641278385,0.8333333333333334,0.0625,4,1,1,0.19269202081880946,0.27070063694267515
topology_betti_curve.betti_1_curve.q50,6,0.3333333333333333,0.0,1.8618986725025257,0.19257955499156112,0.1790287185098582,0.3333333333333333,0.75,4,1,1,0.19257955499156112,0.9058614564831261
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.q50,6,-0.007491112686693648,-0.006667090654373098,0.002725512564545267,-0.19082286682937377,-2.7485151909191394,1.0,0.03125,4,1,1,0.19082286682937377,0.2361111111111111
topology_homology.mean_persistence_h1.std,6,0.06264931721406132,0.1114978885896617,0.22758317329260935,0.1862594771513138,0.27528097226024495,0.8333333333333334,0.4375,4,1,1,0.1862594771513138,0.6611111111111111
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.min,6,0.0016176901012658837,-0.00038421217352149984,0.005255145562771943,0.1830504385489752,0.30782974171558386,0.5,0.84375,4,1,1,0.1830504385489752,0.9359706362153344
topology_homology.mean_persistence_h0.mean,6,-1.2290599883822668,-0.29281700128003063,2.4752226457195765,-0.1822882123410397,-0.49654522614670266,0.8333333333333334,0.0625,4,1,1,0.1822882123410397,0.27070063694267515
interpretability_attention_rank.layer_max_effective_rank.slope,6,0.32220845601490994,0.163985202693139,0.575697942744791,0.18105779267762673,0.5596831812159977,0.8333333333333334,0.15625,4,1,1,0.18105779267762673,0.46397379912663755
geometry_neural_collapse.nc1_within_class_collapse,6,0.03589187882872048,0.00024659487644659514,0.09037323363485712,0.1797051753694959,0.39715164972117273,0.5,1.0,4,1,1,0.1797051753694959,1.0
geometry_perplexity.ppl_freq,5,1.0191055458559448,0.8570767279700444,0.6686040142148307,0.1789943007008919,1.524228877166887,1.0,0.0625,4,1,0,0.1789943007008919,0.27070063694267515
causality_tracing.aie.min,6,0.0002848280710168183,0.0,0.000697683438412415,0.17562842976249432,0.408248290463863,0.16666666666666666,1.0,4,1,1,0.17562842976249432,1.0
geometry_prediction_alignment.prediction_alignment_mean,6,-0.031249733040833214,-0.004325520677339156,0.060751588694506926,-0.17461491941449894,-0.5143854459177093,1.0,0.03125,4,1,1,0.17461491941449894,0.2361111111111111
causality_edge_attribution.mean_layer_attribution_profile.q25,6,0.005946852677829848,0.007526640541106394,0.006199301585424168,0.17208783097034924,0.9592778470097535,0.8333333333333334,0.09375,4,1,1,0.17208783097034924,0.3390957446808511
geometry_hsic.adjacent_hsic.mean,6,-0.010296921402738857,-0.009353947235913151,0.010322429197286011,-0.17072934677006868,-0.9975288961484123,0.8333333333333334,0.0625,4,1,1,0.17072934677006868,0.27070063694267515
consistency_icl_slope.icl_relative_gain,6,-0.0320711677646263,-0.026854678863769466,0.043725761999241705,-0.16890079072755035,-0.7334616093181515,0.6666666666666666,0.3125,4,1,1,0.16890079072755035,0.6611111111111111
topology_betti_curve.betti_1_curve.slope,6,-0.014862960600149418,-0.004983388704318949,0.04933639193465482,-0.1688633869083652,-0.30125755081229183,0.5,1.0,4,1,1,0.1688633869083652,1.0
dynamics_gradient_flow.gradient_flow_slope,6,-0.22044677579287955,-0.03278626583759969,0.5415472333149306,-0.16825880015583217,-0.40706841847104636,0.6666666666666666,0.4375,4,1,1,0.16825880015583217,0.6611111111111111
geometry_hsic.avg_adjacent_hsic,6,-0.010296921402738857,-0.009353947235913151,0.010322429197286011,-0.16717725720342358,-0.9975288961484123,0.8333333333333334,0.0625,4,1,1,0.16717725720342358,0.27070063694267515
interpretability_induction_heads.induction_acc_after_random_ablation,5,-0.03466666666666669,-0.010000000000000009,0.060258701538542236,-0.16484212033761944,-0.5752972729505871,0.8,0.125,4,1,0,0.16484212033761944,0.4292929292929293
